dis_image,ref_image,rating,noise
1600.AWGN.1.png,1600.png,0.938,1
1600.AWGN.2.png,1600.png,0.794,1
1600.AWGN.3.png,1600.png,0.738,1
1600.AWGN.4.png,1600.png,0.625,1
1600.AWGN.5.png,1600.png,0.533,1
1600.BLUR.1.png,1600.png,0.957,2
1600.BLUR.2.png,1600.png,0.858,2
1600.BLUR.3.png,1600.png,0.659,2
1600.BLUR.4.png,1600.png,0.529,2
1600.BLUR.5.png,1600.png,0.25,2
1600.contrast.1.png,1600.png,0.944,3
1600.contrast.2.png,1600.png,0.799,3
1600.contrast.3.png,1600.png,0.69,3
1600.contrast.4.png,1600.png,0.629,3
1600.fnoise.1.png,1600.png,0.948,4
1600.fnoise.2.png,1600.png,0.747,4
1600.fnoise.3.png,1600.png,0.624,4
1600.fnoise.4.png,1600.png,0.51,4
1600.fnoise.5.png,1600.png,0.435,4
1600.JPEG.1.png,1600.png,0.988,5
1600.JPEG.2.png,1600.png,0.865,5
1600.JPEG.3.png,1600.png,0.636,5
1600.JPEG.4.png,1600.png,0.424,5
1600.JPEG.5.png,1600.png,0.173,5
1600.jpeg2000.1.png,1600.png,0.987,6
1600.jpeg2000.2.png,1600.png,0.931,6
1600.jpeg2000.3.png,1600.png,0.803,6
1600.jpeg2000.4.png,1600.png,0.499,6
1600.jpeg2000.5.png,1600.png,0.313,6
aerial_city.AWGN.1.png,aerial_city.png,0.968,1
aerial_city.AWGN.2.png,aerial_city.png,0.875,1
aerial_city.AWGN.3.png,aerial_city.png,0.755,1
aerial_city.AWGN.4.png,aerial_city.png,0.627,1
aerial_city.AWGN.5.png,aerial_city.png,0.499,1
aerial_city.BLUR.1.png,aerial_city.png,0.975,2
aerial_city.BLUR.2.png,aerial_city.png,0.886,2
aerial_city.BLUR.3.png,aerial_city.png,0.741,2
aerial_city.BLUR.4.png,aerial_city.png,0.536,2
aerial_city.BLUR.5.png,aerial_city.png,0.104,2
aerial_city.contrast.1.png,aerial_city.png,0.962,3
aerial_city.contrast.2.png,aerial_city.png,0.837,3
aerial_city.contrast.3.png,aerial_city.png,0.633,3
aerial_city.contrast.4.png,aerial_city.png,0.547,3
aerial_city.fnoise.1.png,aerial_city.png,0.874,4
aerial_city.fnoise.2.png,aerial_city.png,0.681,4
aerial_city.fnoise.3.png,aerial_city.png,0.525,4
aerial_city.fnoise.4.png,aerial_city.png,0.399,4
aerial_city.fnoise.5.png,aerial_city.png,0.292,4
aerial_city.JPEG.1.png,aerial_city.png,0.973,5
aerial_city.JPEG.2.png,aerial_city.png,0.809,5
aerial_city.JPEG.3.png,aerial_city.png,0.514,5
aerial_city.JPEG.4.png,aerial_city.png,0.246,5
aerial_city.JPEG.5.png,aerial_city.png,0.044,5
aerial_city.jpeg2000.1.png,aerial_city.png,0.97,6
aerial_city.jpeg2000.2.png,aerial_city.png,0.935,6
aerial_city.jpeg2000.3.png,aerial_city.png,0.611,6
aerial_city.jpeg2000.4.png,aerial_city.png,0.393,6
aerial_city.jpeg2000.5.png,aerial_city.png,0.181,6
boston.AWGN.1.png,boston.png,0.971,1
boston.AWGN.2.png,boston.png,0.919,1
boston.AWGN.3.png,boston.png,0.785,1
boston.AWGN.4.png,boston.png,0.617,1
boston.AWGN.5.png,boston.png,0.528,1
boston.BLUR.1.png,boston.png,0.917,2
boston.BLUR.2.png,boston.png,0.784,2
boston.BLUR.3.png,boston.png,0.637,2
boston.BLUR.4.png,boston.png,0.429,2
boston.BLUR.5.png,boston.png,0.087,2
boston.contrast.1.png,boston.png,0.883,3
boston.contrast.2.png,boston.png,0.661,3
boston.contrast.3.png,boston.png,0.395,3
boston.contrast.4.png,boston.png,0.31,3
boston.fnoise.1.png,boston.png,0.932,4
boston.fnoise.2.png,boston.png,0.757,4
boston.fnoise.3.png,boston.png,0.502,4
boston.fnoise.4.png,boston.png,0.38,4
boston.fnoise.5.png,boston.png,0.276,4
boston.JPEG.1.png,boston.png,1,5
boston.JPEG.2.png,boston.png,0.882,5
boston.JPEG.3.png,boston.png,0.611,5
boston.JPEG.4.png,boston.png,0.303,5
boston.JPEG.5.png,boston.png,0.096,5
boston.jpeg2000.1.png,boston.png,1,6
boston.jpeg2000.2.png,boston.png,0.95,6
boston.jpeg2000.3.png,boston.png,0.672,6
boston.jpeg2000.4.png,boston.png,0.263,6
boston.jpeg2000.5.png,boston.png,0.168,6
bridge.AWGN.1.png,bridge.png,0.972,1
bridge.AWGN.2.png,bridge.png,0.912,1
bridge.AWGN.3.png,bridge.png,0.748,1
bridge.AWGN.4.png,bridge.png,0.591,1
bridge.AWGN.5.png,bridge.png,0.483,1
bridge.BLUR.1.png,bridge.png,0.939,2
bridge.BLUR.2.png,bridge.png,0.818,2
bridge.BLUR.3.png,bridge.png,0.652,2
bridge.BLUR.4.png,bridge.png,0.364,2
bridge.BLUR.5.png,bridge.png,0.223,2
bridge.contrast.1.png,bridge.png,0.964,3
bridge.contrast.2.png,bridge.png,0.861,3
bridge.contrast.3.png,bridge.png,0.655,3
bridge.contrast.4.png,bridge.png,0.542,3
bridge.fnoise.1.png,bridge.png,0.949,4
bridge.fnoise.2.png,bridge.png,0.707,4
bridge.fnoise.3.png,bridge.png,0.571,4
bridge.fnoise.4.png,bridge.png,0.405,4
bridge.fnoise.5.png,bridge.png,0.303,4
bridge.JPEG.1.png,bridge.png,0.962,5
bridge.JPEG.2.png,bridge.png,0.797,5
bridge.JPEG.3.png,bridge.png,0.591,5
bridge.JPEG.4.png,bridge.png,0.349,5
bridge.JPEG.5.png,bridge.png,0.175,5
bridge.jpeg2000.1.png,bridge.png,0.963,6
bridge.jpeg2000.2.png,bridge.png,0.924,6
bridge.jpeg2000.3.png,bridge.png,0.727,6
bridge.jpeg2000.4.png,bridge.png,0.257,6
bridge.jpeg2000.5.png,bridge.png,0.184,6
butter_flower.AWGN.1.png,butter_flower.png,0.973,1
butter_flower.AWGN.2.png,butter_flower.png,0.911,1
butter_flower.AWGN.3.png,butter_flower.png,0.748,1
butter_flower.AWGN.4.png,butter_flower.png,0.565,1
butter_flower.AWGN.5.png,butter_flower.png,0.455,1
butter_flower.BLUR.1.png,butter_flower.png,0.922,2
butter_flower.BLUR.2.png,butter_flower.png,0.798,2
butter_flower.BLUR.3.png,butter_flower.png,0.518,2
butter_flower.BLUR.4.png,butter_flower.png,0.221,2
butter_flower.BLUR.5.png,butter_flower.png,0.047,2
butter_flower.contrast.1.png,butter_flower.png,0.93,3
butter_flower.contrast.2.png,butter_flower.png,0.744,3
butter_flower.contrast.3.png,butter_flower.png,0.485,3
butter_flower.contrast.4.png,butter_flower.png,0.385,3
butter_flower.fnoise.1.png,butter_flower.png,0.972,4
butter_flower.fnoise.2.png,butter_flower.png,0.805,4
butter_flower.fnoise.3.png,butter_flower.png,0.618,4
butter_flower.fnoise.4.png,butter_flower.png,0.451,4
butter_flower.fnoise.5.png,butter_flower.png,0.273,4
butter_flower.JPEG.1.png,butter_flower.png,0.972,5
butter_flower.JPEG.2.png,butter_flower.png,0.857,5
butter_flower.JPEG.3.png,butter_flower.png,0.54,5
butter_flower.JPEG.4.png,butter_flower.png,0.221,5
butter_flower.JPEG.5.png,butter_flower.png,0.074,5
butter_flower.jpeg2000.1.png,butter_flower.png,0.977,6
butter_flower.jpeg2000.2.png,butter_flower.png,0.969,6
butter_flower.jpeg2000.3.png,butter_flower.png,0.59,6
butter_flower.jpeg2000.4.png,butter_flower.png,0.301,6
butter_flower.jpeg2000.5.png,butter_flower.png,0.192,6
cactus.AWGN.1.png,cactus.png,0.896,1
cactus.AWGN.2.png,cactus.png,0.794,1
cactus.AWGN.3.png,cactus.png,0.651,1
cactus.AWGN.4.png,cactus.png,0.561,1
cactus.AWGN.5.png,cactus.png,0.502,1
cactus.BLUR.1.png,cactus.png,0.933,2
cactus.BLUR.2.png,cactus.png,0.853,2
cactus.BLUR.3.png,cactus.png,0.601,2
cactus.BLUR.4.png,cactus.png,0.492,2
cactus.BLUR.5.png,cactus.png,0.25,2
cactus.contrast.1.png,cactus.png,0.889,3
cactus.contrast.2.png,cactus.png,0.715,3
cactus.contrast.3.png,cactus.png,0.592,3
cactus.contrast.4.png,cactus.png,0.483,3
cactus.fnoise.1.png,cactus.png,0.778,4
cactus.fnoise.2.png,cactus.png,0.675,4
cactus.fnoise.3.png,cactus.png,0.497,4
cactus.fnoise.4.png,cactus.png,0.405,4
cactus.fnoise.5.png,cactus.png,0.333,4
cactus.JPEG.1.png,cactus.png,0.921,5
cactus.JPEG.2.png,cactus.png,0.791,5
cactus.JPEG.3.png,cactus.png,0.595,5
cactus.JPEG.4.png,cactus.png,0.361,5
cactus.JPEG.5.png,cactus.png,0.215,5
cactus.jpeg2000.1.png,cactus.png,0.959,6
cactus.jpeg2000.2.png,cactus.png,0.84,6
cactus.jpeg2000.3.png,cactus.png,0.622,6
cactus.jpeg2000.4.png,cactus.png,0.296,6
cactus.jpeg2000.5.png,cactus.png,0.188,6
child_swimming.AWGN.1.png,child_swimming.png,0.972,1
child_swimming.AWGN.2.png,child_swimming.png,0.88,1
child_swimming.AWGN.3.png,child_swimming.png,0.728,1
child_swimming.AWGN.4.png,child_swimming.png,0.587,1
child_swimming.AWGN.5.png,child_swimming.png,0.511,1
child_swimming.BLUR.1.png,child_swimming.png,0.968,2
child_swimming.BLUR.2.png,child_swimming.png,0.813,2
child_swimming.BLUR.3.png,child_swimming.png,0.71,2
child_swimming.BLUR.4.png,child_swimming.png,0.515,2
child_swimming.BLUR.5.png,child_swimming.png,0.242,2
child_swimming.contrast.1.png,child_swimming.png,0.857,3
child_swimming.contrast.2.png,child_swimming.png,0.711,3
child_swimming.contrast.3.png,child_swimming.png,0.446,3
child_swimming.contrast.4.png,child_swimming.png,0.435,3
child_swimming.fnoise.1.png,child_swimming.png,0.968,4
child_swimming.fnoise.2.png,child_swimming.png,0.774,4
child_swimming.fnoise.3.png,child_swimming.png,0.624,4
child_swimming.fnoise.4.png,child_swimming.png,0.43,4
child_swimming.fnoise.5.png,child_swimming.png,0.301,4
child_swimming.JPEG.1.png,child_swimming.png,0.971,5
child_swimming.JPEG.2.png,child_swimming.png,0.957,5
child_swimming.JPEG.3.png,child_swimming.png,0.677,5
child_swimming.JPEG.4.png,child_swimming.png,0.453,5
child_swimming.JPEG.5.png,child_swimming.png,0.234,5
child_swimming.jpeg2000.1.png,child_swimming.png,0.971,6
child_swimming.jpeg2000.2.png,child_swimming.png,0.97,6
child_swimming.jpeg2000.3.png,child_swimming.png,0.764,6
child_swimming.jpeg2000.4.png,child_swimming.png,0.486,6
child_swimming.jpeg2000.5.png,child_swimming.png,0.304,6
couple.AWGN.1.png,couple.png,0.994,1
couple.AWGN.2.png,couple.png,0.891,1
couple.AWGN.3.png,couple.png,0.796,1
couple.AWGN.4.png,couple.png,0.675,1
couple.AWGN.5.png,couple.png,0.53,1
couple.BLUR.1.png,couple.png,0.953,2
couple.BLUR.2.png,couple.png,0.751,2
couple.BLUR.3.png,couple.png,0.592,2
couple.BLUR.4.png,couple.png,0.411,2
couple.BLUR.5.png,couple.png,0.215,2
couple.contrast.1.png,couple.png,0.903,3
couple.contrast.2.png,couple.png,0.79,3
couple.contrast.3.png,couple.png,0.648,3
couple.contrast.4.png,couple.png,0.583,3
couple.fnoise.1.png,couple.png,0.988,4
couple.fnoise.2.png,couple.png,0.911,4
couple.fnoise.3.png,couple.png,0.735,4
couple.fnoise.4.png,couple.png,0.533,4
couple.fnoise.5.png,couple.png,0.361,4
couple.JPEG.1.png,couple.png,0.998,5
couple.JPEG.2.png,couple.png,0.927,5
couple.JPEG.3.png,couple.png,0.614,5
couple.JPEG.4.png,couple.png,0.369,5
couple.JPEG.5.png,couple.png,0.195,5
couple.jpeg2000.1.png,couple.png,0.998,6
couple.jpeg2000.2.png,couple.png,0.966,6
couple.jpeg2000.3.png,couple.png,0.742,6
couple.jpeg2000.4.png,couple.png,0.414,6
couple.jpeg2000.5.png,couple.png,0.276,6
elk.AWGN.1.png,elk.png,0.967,1
elk.AWGN.2.png,elk.png,0.935,1
elk.AWGN.3.png,elk.png,0.828,1
elk.AWGN.4.png,elk.png,0.763,1
elk.AWGN.5.png,elk.png,0.642,1
elk.BLUR.1.png,elk.png,0.956,2
elk.BLUR.2.png,elk.png,0.878,2
elk.BLUR.3.png,elk.png,0.753,2
elk.BLUR.4.png,elk.png,0.595,2
elk.BLUR.5.png,elk.png,0.237,2
elk.contrast.1.png,elk.png,0.924,3
elk.contrast.2.png,elk.png,0.8,3
elk.contrast.3.png,elk.png,0.601,3
elk.fnoise.1.png,elk.png,0.954,4
elk.fnoise.2.png,elk.png,0.753,4
elk.fnoise.3.png,elk.png,0.629,4
elk.fnoise.4.png,elk.png,0.516,4
elk.fnoise.5.png,elk.png,0.355,4
elk.JPEG.1.png,elk.png,0.973,5
elk.JPEG.2.png,elk.png,0.926,5
elk.JPEG.3.png,elk.png,0.755,5
elk.JPEG.4.png,elk.png,0.454,5
elk.JPEG.5.png,elk.png,0.189,5
elk.jpeg2000.1.png,elk.png,0.968,6
elk.jpeg2000.2.png,elk.png,0.932,6
elk.jpeg2000.3.png,elk.png,0.78,6
elk.jpeg2000.4.png,elk.png,0.45,6
elk.jpeg2000.5.png,elk.png,0.29,6
family.AWGN.1.png,family.png,0.912,1
family.AWGN.2.png,family.png,0.85,1
family.AWGN.3.png,family.png,0.725,1
family.AWGN.4.png,family.png,0.625,1
family.AWGN.5.png,family.png,0.52,1
family.BLUR.1.png,family.png,0.963,2
family.BLUR.2.png,family.png,0.851,2
family.BLUR.3.png,family.png,0.738,2
family.BLUR.4.png,family.png,0.462,2
family.BLUR.5.png,family.png,0.144,2
family.contrast.1.png,family.png,0.973,3
family.contrast.2.png,family.png,0.855,3
family.contrast.3.png,family.png,0.72,3
family.contrast.4.png,family.png,0.621,3
family.fnoise.1.png,family.png,0.83,4
family.fnoise.2.png,family.png,0.728,4
family.fnoise.3.png,family.png,0.552,4
family.fnoise.4.png,family.png,0.431,4
family.fnoise.5.png,family.png,0.319,4
family.JPEG.1.png,family.png,0.956,5
family.JPEG.2.png,family.png,0.762,5
family.JPEG.3.png,family.png,0.441,5
family.JPEG.4.png,family.png,0.238,5
family.JPEG.5.png,family.png,0.023,5
family.jpeg2000.1.png,family.png,0.978,6
family.jpeg2000.2.png,family.png,0.866,6
family.jpeg2000.3.png,family.png,0.353,6
family.jpeg2000.4.png,family.png,0.238,6
family.jpeg2000.5.png,family.png,0.154,6
fisher.AWGN.1.png,fisher.png,0.948,1
fisher.AWGN.2.png,fisher.png,0.87,1
fisher.AWGN.3.png,fisher.png,0.784,1
fisher.AWGN.4.png,fisher.png,0.688,1
fisher.AWGN.5.png,fisher.png,0.56,1
fisher.BLUR.1.png,fisher.png,0.944,2
fisher.BLUR.2.png,fisher.png,0.639,2
fisher.BLUR.3.png,fisher.png,0.417,2
fisher.BLUR.4.png,fisher.png,0.2,2
fisher.BLUR.5.png,fisher.png,0.087,2
fisher.contrast.1.png,fisher.png,0.91,3
fisher.contrast.2.png,fisher.png,0.788,3
fisher.contrast.3.png,fisher.png,0.658,3
fisher.contrast.4.png,fisher.png,0.611,3
fisher.fnoise.1.png,fisher.png,0.934,4
fisher.fnoise.2.png,fisher.png,0.73,4
fisher.fnoise.3.png,fisher.png,0.597,4
fisher.fnoise.4.png,fisher.png,0.513,4
fisher.fnoise.5.png,fisher.png,0.393,4
fisher.JPEG.1.png,fisher.png,0.992,5
fisher.JPEG.2.png,fisher.png,0.824,5
fisher.JPEG.3.png,fisher.png,0.482,5
fisher.JPEG.4.png,fisher.png,0.192,5
fisher.JPEG.5.png,fisher.png,0.028,5
fisher.jpeg2000.1.png,fisher.png,0.992,6
fisher.jpeg2000.2.png,fisher.png,0.82,6
fisher.jpeg2000.3.png,fisher.png,0.482,6
fisher.jpeg2000.4.png,fisher.png,0.275,6
fisher.jpeg2000.5.png,fisher.png,0.209,6
foxy.AWGN.1.png,foxy.png,0.986,1
foxy.AWGN.2.png,foxy.png,0.936,1
foxy.AWGN.3.png,foxy.png,0.864,1
foxy.AWGN.4.png,foxy.png,0.75,1
foxy.AWGN.5.png,foxy.png,0.619,1
foxy.BLUR.1.png,foxy.png,0.984,2
foxy.BLUR.2.png,foxy.png,0.89,2
foxy.BLUR.3.png,foxy.png,0.82,2
foxy.BLUR.4.png,foxy.png,0.71,2
foxy.BLUR.5.png,foxy.png,0.558,2
foxy.contrast.1.png,foxy.png,0.953,3
foxy.contrast.2.png,foxy.png,0.817,3
foxy.contrast.3.png,foxy.png,0.644,3
foxy.contrast.4.png,foxy.png,0.53,3
foxy.fnoise.1.png,foxy.png,0.977,4
foxy.fnoise.2.png,foxy.png,0.908,4
foxy.fnoise.3.png,foxy.png,0.667,4
foxy.fnoise.4.png,foxy.png,0.599,4
foxy.fnoise.5.png,foxy.png,0.424,4
foxy.JPEG.1.png,foxy.png,0.985,5
foxy.JPEG.2.png,foxy.png,0.944,5
foxy.JPEG.3.png,foxy.png,0.821,5
foxy.JPEG.4.png,foxy.png,0.621,5
foxy.JPEG.5.png,foxy.png,0.391,5
foxy.jpeg2000.1.png,foxy.png,0.984,6
foxy.jpeg2000.2.png,foxy.png,0.925,6
foxy.jpeg2000.3.png,foxy.png,0.846,6
foxy.jpeg2000.4.png,foxy.png,0.678,6
foxy.jpeg2000.5.png,foxy.png,0.449,6
geckos.AWGN.1.png,geckos.png,0.971,1
geckos.AWGN.2.png,geckos.png,0.94,1
geckos.AWGN.3.png,geckos.png,0.883,1
geckos.AWGN.4.png,geckos.png,0.798,1
geckos.AWGN.5.png,geckos.png,0.664,1
geckos.BLUR.1.png,geckos.png,0.987,2
geckos.BLUR.2.png,geckos.png,0.932,2
geckos.BLUR.3.png,geckos.png,0.769,2
geckos.BLUR.4.png,geckos.png,0.659,2
geckos.BLUR.5.png,geckos.png,0.43,2
geckos.contrast.1.png,geckos.png,0.895,3
geckos.contrast.2.png,geckos.png,0.761,3
geckos.contrast.3.png,geckos.png,0.548,3
geckos.fnoise.1.png,geckos.png,0.996,4
geckos.fnoise.2.png,geckos.png,0.81,4
geckos.fnoise.3.png,geckos.png,0.662,4
geckos.fnoise.4.png,geckos.png,0.549,4
geckos.fnoise.5.png,geckos.png,0.39,4
geckos.JPEG.1.png,geckos.png,0.978,5
geckos.JPEG.2.png,geckos.png,0.956,5
geckos.JPEG.3.png,geckos.png,0.83,5
geckos.JPEG.4.png,geckos.png,0.623,5
geckos.JPEG.5.png,geckos.png,0.383,5
geckos.jpeg2000.1.png,geckos.png,0.978,6
geckos.jpeg2000.2.png,geckos.png,0.953,6
geckos.jpeg2000.3.png,geckos.png,0.865,6
geckos.jpeg2000.4.png,geckos.png,0.537,6
geckos.jpeg2000.5.png,geckos.png,0.266,6
lady_liberty.AWGN.1.png,lady_liberty.png,0.968,1
lady_liberty.AWGN.2.png,lady_liberty.png,0.849,1
lady_liberty.AWGN.3.png,lady_liberty.png,0.745,1
lady_liberty.AWGN.4.png,lady_liberty.png,0.616,1
lady_liberty.AWGN.5.png,lady_liberty.png,0.513,1
lady_liberty.BLUR.1.png,lady_liberty.png,0.941,2
lady_liberty.BLUR.2.png,lady_liberty.png,0.773,2
lady_liberty.BLUR.3.png,lady_liberty.png,0.538,2
lady_liberty.BLUR.4.png,lady_liberty.png,0.327,2
lady_liberty.BLUR.5.png,lady_liberty.png,0.034,2
lady_liberty.contrast.1.png,lady_liberty.png,0.908,3
lady_liberty.contrast.2.png,lady_liberty.png,0.695,3
lady_liberty.contrast.3.png,lady_liberty.png,0.359,3
lady_liberty.fnoise.1.png,lady_liberty.png,0.968,4
lady_liberty.fnoise.2.png,lady_liberty.png,0.807,4
lady_liberty.fnoise.3.png,lady_liberty.png,0.648,4
lady_liberty.fnoise.4.png,lady_liberty.png,0.495,4
lady_liberty.fnoise.5.png,lady_liberty.png,0.358,4
lady_liberty.JPEG.1.png,lady_liberty.png,0.969,5
lady_liberty.JPEG.2.png,lady_liberty.png,0.733,5
lady_liberty.JPEG.3.png,lady_liberty.png,0.491,5
lady_liberty.JPEG.4.png,lady_liberty.png,0.237,5
lady_liberty.JPEG.5.png,lady_liberty.png,0.093,5
lady_liberty.jpeg2000.1.png,lady_liberty.png,0.983,6
lady_liberty.jpeg2000.2.png,lady_liberty.png,0.726,6
lady_liberty.jpeg2000.3.png,lady_liberty.png,0.468,6
lady_liberty.jpeg2000.4.png,lady_liberty.png,0.345,6
lady_liberty.jpeg2000.5.png,lady_liberty.png,0.23,6
lake.AWGN.1.png,lake.png,0.978,1
lake.AWGN.2.png,lake.png,0.863,1
lake.AWGN.3.png,lake.png,0.705,1
lake.AWGN.4.png,lake.png,0.563,1
lake.AWGN.5.png,lake.png,0.464,1
lake.BLUR.1.png,lake.png,0.926,2
lake.BLUR.2.png,lake.png,0.837,2
lake.BLUR.3.png,lake.png,0.704,2
lake.BLUR.4.png,lake.png,0.53,2
lake.BLUR.5.png,lake.png,0.345,2
lake.contrast.1.png,lake.png,0.906,3
lake.contrast.2.png,lake.png,0.735,3
lake.contrast.3.png,lake.png,0.59,3
lake.contrast.4.png,lake.png,0.494,3
lake.fnoise.1.png,lake.png,0.875,4
lake.fnoise.2.png,lake.png,0.71,4
lake.fnoise.3.png,lake.png,0.56,4
lake.fnoise.4.png,lake.png,0.429,4
lake.fnoise.5.png,lake.png,0.341,4
lake.JPEG.1.png,lake.png,0.935,5
lake.JPEG.2.png,lake.png,0.833,5
lake.JPEG.3.png,lake.png,0.752,5
lake.JPEG.4.png,lake.png,0.592,5
lake.JPEG.5.png,lake.png,0.318,5
lake.jpeg2000.1.png,lake.png,0.979,6
lake.jpeg2000.2.png,lake.png,0.921,6
lake.jpeg2000.3.png,lake.png,0.844,6
lake.jpeg2000.4.png,lake.png,0.571,6
lake.jpeg2000.5.png,lake.png,0.27,6
log_seaside.AWGN.1.png,log_seaside.png,1,1
log_seaside.AWGN.2.png,log_seaside.png,0.943,1
log_seaside.AWGN.3.png,log_seaside.png,0.868,1
log_seaside.AWGN.4.png,log_seaside.png,0.733,1
log_seaside.AWGN.5.png,log_seaside.png,0.558,1
log_seaside.BLUR.1.png,log_seaside.png,0.987,2
log_seaside.BLUR.2.png,log_seaside.png,0.922,2
log_seaside.BLUR.3.png,log_seaside.png,0.793,2
log_seaside.BLUR.4.png,log_seaside.png,0.649,2
log_seaside.BLUR.5.png,log_seaside.png,0.41,2
log_seaside.contrast.1.png,log_seaside.png,0.977,3
log_seaside.contrast.2.png,log_seaside.png,0.843,3
