dis_image,ref_image,,dmos
1600.AWGN.1.png,1600.png,0.938,0.062
1600.AWGN.2.png,1600.png,0.794,0.206
1600.AWGN.3.png,1600.png,0.738,0.262
1600.AWGN.4.png,1600.png,0.625,0.375
1600.AWGN.5.png,1600.png,0.533,0.467
1600.BLUR.1.png,1600.png,0.957,0.043
1600.BLUR.2.png,1600.png,0.858,0.142
1600.BLUR.3.png,1600.png,0.659,0.341
1600.BLUR.4.png,1600.png,0.529,0.471
1600.BLUR.5.png,1600.png,0.25,0.75
1600.contrast.1.png,1600.png,0.944,0.056
1600.contrast.2.png,1600.png,0.799,0.201
1600.contrast.3.png,1600.png,0.69,0.31
1600.contrast.4.png,1600.png,0.629,0.371
1600.fnoise.1.png,1600.png,0.948,0.052
1600.fnoise.2.png,1600.png,0.747,0.253
1600.fnoise.3.png,1600.png,0.624,0.376
1600.fnoise.4.png,1600.png,0.51,0.49
1600.fnoise.5.png,1600.png,0.435,0.565
1600.JPEG.1.png,1600.png,0.988,0.012
1600.JPEG.2.png,1600.png,0.865,0.135
1600.JPEG.3.png,1600.png,0.636,0.364
1600.JPEG.4.png,1600.png,0.424,0.576
1600.JPEG.5.png,1600.png,0.173,0.827
1600.jpeg2000.1.png,1600.png,0.987,0.013
1600.jpeg2000.2.png,1600.png,0.931,0.069
1600.jpeg2000.3.png,1600.png,0.803,0.197
1600.jpeg2000.4.png,1600.png,0.499,0.501
1600.jpeg2000.5.png,1600.png,0.313,0.687
aerial_city.AWGN.1.png,aerial_city.png,0.968,0.032
aerial_city.AWGN.2.png,aerial_city.png,0.875,0.125
aerial_city.AWGN.3.png,aerial_city.png,0.755,0.245
aerial_city.AWGN.4.png,aerial_city.png,0.627,0.373
aerial_city.AWGN.5.png,aerial_city.png,0.499,0.501
aerial_city.BLUR.1.png,aerial_city.png,0.975,0.025
aerial_city.BLUR.2.png,aerial_city.png,0.886,0.114
aerial_city.BLUR.3.png,aerial_city.png,0.741,0.259
aerial_city.BLUR.4.png,aerial_city.png,0.536,0.464
aerial_city.BLUR.5.png,aerial_city.png,0.104,0.896
aerial_city.contrast.1.png,aerial_city.png,0.962,0.038
aerial_city.contrast.2.png,aerial_city.png,0.837,0.163
aerial_city.contrast.3.png,aerial_city.png,0.633,0.367
aerial_city.contrast.4.png,aerial_city.png,0.547,0.453
aerial_city.fnoise.1.png,aerial_city.png,0.874,0.126
aerial_city.fnoise.2.png,aerial_city.png,0.681,0.319
aerial_city.fnoise.3.png,aerial_city.png,0.525,0.475
aerial_city.fnoise.4.png,aerial_city.png,0.399,0.601
aerial_city.fnoise.5.png,aerial_city.png,0.292,0.708
aerial_city.JPEG.1.png,aerial_city.png,0.973,0.027
aerial_city.JPEG.2.png,aerial_city.png,0.809,0.191
aerial_city.JPEG.3.png,aerial_city.png,0.514,0.486
aerial_city.JPEG.4.png,aerial_city.png,0.246,0.754
aerial_city.JPEG.5.png,aerial_city.png,0.044,0.956
aerial_city.jpeg2000.1.png,aerial_city.png,0.97,0.03
aerial_city.jpeg2000.2.png,aerial_city.png,0.935,0.065
aerial_city.jpeg2000.3.png,aerial_city.png,0.611,0.389
aerial_city.jpeg2000.4.png,aerial_city.png,0.393,0.607
aerial_city.jpeg2000.5.png,aerial_city.png,0.181,0.819
boston.AWGN.1.png,boston.png,0.971,0.029
boston.AWGN.2.png,boston.png,0.919,0.081
boston.AWGN.3.png,boston.png,0.785,0.215
boston.AWGN.4.png,boston.png,0.617,0.383
boston.AWGN.5.png,boston.png,0.528,0.472
boston.BLUR.1.png,boston.png,0.917,0.083
boston.BLUR.2.png,boston.png,0.784,0.216
boston.BLUR.3.png,boston.png,0.637,0.363
boston.BLUR.4.png,boston.png,0.429,0.571
boston.BLUR.5.png,boston.png,0.087,0.913
boston.contrast.1.png,boston.png,0.883,0.117
boston.contrast.2.png,boston.png,0.661,0.339
boston.contrast.3.png,boston.png,0.395,0.605
boston.contrast.4.png,boston.png,0.31,0.69
boston.fnoise.1.png,boston.png,0.932,0.068
boston.fnoise.2.png,boston.png,0.757,0.243
boston.fnoise.3.png,boston.png,0.502,0.498
boston.fnoise.4.png,boston.png,0.38,0.62
boston.fnoise.5.png,boston.png,0.276,0.724
boston.JPEG.1.png,boston.png,1,0
boston.JPEG.2.png,boston.png,0.882,0.118
boston.JPEG.3.png,boston.png,0.611,0.389
boston.JPEG.4.png,boston.png,0.303,0.697
boston.JPEG.5.png,boston.png,0.096,0.904
boston.jpeg2000.1.png,boston.png,1,0
boston.jpeg2000.2.png,boston.png,0.95,0.05
boston.jpeg2000.3.png,boston.png,0.672,0.328
boston.jpeg2000.4.png,boston.png,0.263,0.737
boston.jpeg2000.5.png,boston.png,0.168,0.832
bridge.AWGN.1.png,bridge.png,0.972,0.028
bridge.AWGN.2.png,bridge.png,0.912,0.088
bridge.AWGN.3.png,bridge.png,0.748,0.252
bridge.AWGN.4.png,bridge.png,0.591,0.409
bridge.AWGN.5.png,bridge.png,0.483,0.517
bridge.BLUR.1.png,bridge.png,0.939,0.061
bridge.BLUR.2.png,bridge.png,0.818,0.182
bridge.BLUR.3.png,bridge.png,0.652,0.348
bridge.BLUR.4.png,bridge.png,0.364,0.636
bridge.BLUR.5.png,bridge.png,0.223,0.777
bridge.contrast.1.png,bridge.png,0.964,0.036
bridge.contrast.2.png,bridge.png,0.861,0.139
bridge.contrast.3.png,bridge.png,0.655,0.345
bridge.contrast.4.png,bridge.png,0.542,0.458
bridge.fnoise.1.png,bridge.png,0.949,0.051
bridge.fnoise.2.png,bridge.png,0.707,0.293
bridge.fnoise.3.png,bridge.png,0.571,0.429
bridge.fnoise.4.png,bridge.png,0.405,0.595
bridge.fnoise.5.png,bridge.png,0.303,0.697
bridge.JPEG.1.png,bridge.png,0.962,0.038
bridge.JPEG.2.png,bridge.png,0.797,0.203
bridge.JPEG.3.png,bridge.png,0.591,0.409
bridge.JPEG.4.png,bridge.png,0.349,0.651
bridge.JPEG.5.png,bridge.png,0.175,0.825
bridge.jpeg2000.1.png,bridge.png,0.963,0.037
bridge.jpeg2000.2.png,bridge.png,0.924,0.076
bridge.jpeg2000.3.png,bridge.png,0.727,0.273
bridge.jpeg2000.4.png,bridge.png,0.257,0.743
bridge.jpeg2000.5.png,bridge.png,0.184,0.816
butter_flower.AWGN.1.png,butter_flower.png,0.973,0.027
butter_flower.AWGN.2.png,butter_flower.png,0.911,0.089
butter_flower.AWGN.3.png,butter_flower.png,0.748,0.252
butter_flower.AWGN.4.png,butter_flower.png,0.565,0.435
butter_flower.AWGN.5.png,butter_flower.png,0.455,0.545
butter_flower.BLUR.1.png,butter_flower.png,0.922,0.078
butter_flower.BLUR.2.png,butter_flower.png,0.798,0.202
butter_flower.BLUR.3.png,butter_flower.png,0.518,0.482
butter_flower.BLUR.4.png,butter_flower.png,0.221,0.779
butter_flower.BLUR.5.png,butter_flower.png,0.047,0.953
butter_flower.contrast.1.png,butter_flower.png,0.93,0.07
butter_flower.contrast.2.png,butter_flower.png,0.744,0.256
butter_flower.contrast.3.png,butter_flower.png,0.485,0.515
butter_flower.contrast.4.png,butter_flower.png,0.385,0.615
butter_flower.fnoise.1.png,butter_flower.png,0.972,0.028
butter_flower.fnoise.2.png,butter_flower.png,0.805,0.195
butter_flower.fnoise.3.png,butter_flower.png,0.618,0.382
butter_flower.fnoise.4.png,butter_flower.png,0.451,0.549
butter_flower.fnoise.5.png,butter_flower.png,0.273,0.727
butter_flower.JPEG.1.png,butter_flower.png,0.972,0.028
butter_flower.JPEG.2.png,butter_flower.png,0.857,0.143
butter_flower.JPEG.3.png,butter_flower.png,0.54,0.46
butter_flower.JPEG.4.png,butter_flower.png,0.221,0.779
butter_flower.JPEG.5.png,butter_flower.png,0.074,0.926
butter_flower.jpeg2000.1.png,butter_flower.png,0.977,0.023
butter_flower.jpeg2000.2.png,butter_flower.png,0.969,0.031
butter_flower.jpeg2000.3.png,butter_flower.png,0.59,0.41
butter_flower.jpeg2000.4.png,butter_flower.png,0.301,0.699
butter_flower.jpeg2000.5.png,butter_flower.png,0.192,0.808
cactus.AWGN.1.png,cactus.png,0.896,0.104
cactus.AWGN.2.png,cactus.png,0.794,0.206
cactus.AWGN.3.png,cactus.png,0.651,0.349
cactus.AWGN.4.png,cactus.png,0.561,0.439
cactus.AWGN.5.png,cactus.png,0.502,0.498
cactus.BLUR.1.png,cactus.png,0.933,0.067
cactus.BLUR.2.png,cactus.png,0.853,0.147
cactus.BLUR.3.png,cactus.png,0.601,0.399
cactus.BLUR.4.png,cactus.png,0.492,0.508
cactus.BLUR.5.png,cactus.png,0.25,0.75
cactus.contrast.1.png,cactus.png,0.889,0.111
cactus.contrast.2.png,cactus.png,0.715,0.285
cactus.contrast.3.png,cactus.png,0.592,0.408
cactus.contrast.4.png,cactus.png,0.483,0.517
cactus.fnoise.1.png,cactus.png,0.778,0.222
cactus.fnoise.2.png,cactus.png,0.675,0.325
cactus.fnoise.3.png,cactus.png,0.497,0.503
cactus.fnoise.4.png,cactus.png,0.405,0.595
cactus.fnoise.5.png,cactus.png,0.333,0.667
cactus.JPEG.1.png,cactus.png,0.921,0.079
cactus.JPEG.2.png,cactus.png,0.791,0.209
cactus.JPEG.3.png,cactus.png,0.595,0.405
cactus.JPEG.4.png,cactus.png,0.361,0.639
cactus.JPEG.5.png,cactus.png,0.215,0.785
cactus.jpeg2000.1.png,cactus.png,0.959,0.041
cactus.jpeg2000.2.png,cactus.png,0.84,0.16
cactus.jpeg2000.3.png,cactus.png,0.622,0.378
cactus.jpeg2000.4.png,cactus.png,0.296,0.704
cactus.jpeg2000.5.png,cactus.png,0.188,0.812
child_swimming.AWGN.1.png,child_swimming.png,0.972,0.028
child_swimming.AWGN.2.png,child_swimming.png,0.88,0.12
child_swimming.AWGN.3.png,child_swimming.png,0.728,0.272
child_swimming.AWGN.4.png,child_swimming.png,0.587,0.413
child_swimming.AWGN.5.png,child_swimming.png,0.511,0.489
child_swimming.BLUR.1.png,child_swimming.png,0.968,0.032
child_swimming.BLUR.2.png,child_swimming.png,0.813,0.187
child_swimming.BLUR.3.png,child_swimming.png,0.71,0.29
child_swimming.BLUR.4.png,child_swimming.png,0.515,0.485
child_swimming.BLUR.5.png,child_swimming.png,0.242,0.758
child_swimming.contrast.1.png,child_swimming.png,0.857,0.143
child_swimming.contrast.2.png,child_swimming.png,0.711,0.289
child_swimming.contrast.3.png,child_swimming.png,0.446,0.554
child_swimming.contrast.4.png,child_swimming.png,0.435,0.565
child_swimming.fnoise.1.png,child_swimming.png,0.968,0.032
child_swimming.fnoise.2.png,child_swimming.png,0.774,0.226
child_swimming.fnoise.3.png,child_swimming.png,0.624,0.376
child_swimming.fnoise.4.png,child_swimming.png,0.43,0.57
child_swimming.fnoise.5.png,child_swimming.png,0.301,0.699
child_swimming.JPEG.1.png,child_swimming.png,0.971,0.029
child_swimming.JPEG.2.png,child_swimming.png,0.957,0.043
child_swimming.JPEG.3.png,child_swimming.png,0.677,0.323
child_swimming.JPEG.4.png,child_swimming.png,0.453,0.547
child_swimming.JPEG.5.png,child_swimming.png,0.234,0.766
child_swimming.jpeg2000.1.png,child_swimming.png,0.971,0.029
child_swimming.jpeg2000.2.png,child_swimming.png,0.97,0.03
child_swimming.jpeg2000.3.png,child_swimming.png,0.764,0.236
child_swimming.jpeg2000.4.png,child_swimming.png,0.486,0.514
child_swimming.jpeg2000.5.png,child_swimming.png,0.304,0.696
couple.AWGN.1.png,couple.png,0.994,0.006
couple.AWGN.2.png,couple.png,0.891,0.109
couple.AWGN.3.png,couple.png,0.796,0.204
couple.AWGN.4.png,couple.png,0.675,0.325
couple.AWGN.5.png,couple.png,0.53,0.47
couple.BLUR.1.png,couple.png,0.953,0.047
couple.BLUR.2.png,couple.png,0.751,0.249
couple.BLUR.3.png,couple.png,0.592,0.408
couple.BLUR.4.png,couple.png,0.411,0.589
couple.BLUR.5.png,couple.png,0.215,0.785
couple.contrast.1.png,couple.png,0.903,0.097
couple.contrast.2.png,couple.png,0.79,0.21
couple.contrast.3.png,couple.png,0.648,0.352
couple.contrast.4.png,couple.png,0.583,0.417
couple.fnoise.1.png,couple.png,0.988,0.012
couple.fnoise.2.png,couple.png,0.911,0.089
couple.fnoise.3.png,couple.png,0.735,0.265
couple.fnoise.4.png,couple.png,0.533,0.467
couple.fnoise.5.png,couple.png,0.361,0.639
couple.JPEG.1.png,couple.png,0.998,0.002
couple.JPEG.2.png,couple.png,0.927,0.073
couple.JPEG.3.png,couple.png,0.614,0.386
couple.JPEG.4.png,couple.png,0.369,0.631
couple.JPEG.5.png,couple.png,0.195,0.805
couple.jpeg2000.1.png,couple.png,0.998,0.002
couple.jpeg2000.2.png,couple.png,0.966,0.034
couple.jpeg2000.3.png,couple.png,0.742,0.258
couple.jpeg2000.4.png,couple.png,0.414,0.586
couple.jpeg2000.5.png,couple.png,0.276,0.724
elk.AWGN.1.png,elk.png,0.967,0.033
elk.AWGN.2.png,elk.png,0.935,0.065
elk.AWGN.3.png,elk.png,0.828,0.172
elk.AWGN.4.png,elk.png,0.763,0.237
elk.AWGN.5.png,elk.png,0.642,0.358
elk.BLUR.1.png,elk.png,0.956,0.044
elk.BLUR.2.png,elk.png,0.878,0.122
elk.BLUR.3.png,elk.png,0.753,0.247
elk.BLUR.4.png,elk.png,0.595,0.405
elk.BLUR.5.png,elk.png,0.237,0.763
elk.contrast.1.png,elk.png,0.924,0.076
elk.contrast.2.png,elk.png,0.8,0.2
elk.contrast.3.png,elk.png,0.601,0.399
elk.fnoise.1.png,elk.png,0.954,0.046
elk.fnoise.2.png,elk.png,0.753,0.247
elk.fnoise.3.png,elk.png,0.629,0.371
elk.fnoise.4.png,elk.png,0.516,0.484
elk.fnoise.5.png,elk.png,0.355,0.645
elk.JPEG.1.png,elk.png,0.973,0.027
elk.JPEG.2.png,elk.png,0.926,0.074
elk.JPEG.3.png,elk.png,0.755,0.245
elk.JPEG.4.png,elk.png,0.454,0.546
elk.JPEG.5.png,elk.png,0.189,0.811
elk.jpeg2000.1.png,elk.png,0.968,0.032
elk.jpeg2000.2.png,elk.png,0.932,0.068
elk.jpeg2000.3.png,elk.png,0.78,0.22
elk.jpeg2000.4.png,elk.png,0.45,0.55
elk.jpeg2000.5.png,elk.png,0.29,0.71
family.AWGN.1.png,family.png,0.912,0.088
family.AWGN.2.png,family.png,0.85,0.15
family.AWGN.3.png,family.png,0.725,0.275
family.AWGN.4.png,family.png,0.625,0.375
family.AWGN.5.png,family.png,0.52,0.48
family.BLUR.1.png,family.png,0.963,0.037
family.BLUR.2.png,family.png,0.851,0.149
family.BLUR.3.png,family.png,0.738,0.262
family.BLUR.4.png,family.png,0.462,0.538
family.BLUR.5.png,family.png,0.144,0.856
family.contrast.1.png,family.png,0.973,0.027
family.contrast.2.png,family.png,0.855,0.145
family.contrast.3.png,family.png,0.72,0.28
family.contrast.4.png,family.png,0.621,0.379
family.fnoise.1.png,family.png,0.83,0.17
family.fnoise.2.png,family.png,0.728,0.272
family.fnoise.3.png,family.png,0.552,0.448
family.fnoise.4.png,family.png,0.431,0.569
family.fnoise.5.png,family.png,0.319,0.681
family.JPEG.1.png,family.png,0.956,0.044
family.JPEG.2.png,family.png,0.762,0.238
family.JPEG.3.png,family.png,0.441,0.559
family.JPEG.4.png,family.png,0.238,0.762
family.JPEG.5.png,family.png,0.023,0.977
family.jpeg2000.1.png,family.png,0.978,0.022
family.jpeg2000.2.png,family.png,0.866,0.134
family.jpeg2000.3.png,family.png,0.353,0.647
family.jpeg2000.4.png,family.png,0.238,0.762
family.jpeg2000.5.png,family.png,0.154,0.846
fisher.AWGN.1.png,fisher.png,0.948,0.052
fisher.AWGN.2.png,fisher.png,0.87,0.13
fisher.AWGN.3.png,fisher.png,0.784,0.216
fisher.AWGN.4.png,fisher.png,0.688,0.312
fisher.AWGN.5.png,fisher.png,0.56,0.44
fisher.BLUR.1.png,fisher.png,0.944,0.056
fisher.BLUR.2.png,fisher.png,0.639,0.361
fisher.BLUR.3.png,fisher.png,0.417,0.583
fisher.BLUR.4.png,fisher.png,0.2,0.8
fisher.BLUR.5.png,fisher.png,0.087,0.913
fisher.contrast.1.png,fisher.png,0.91,0.09
fisher.contrast.2.png,fisher.png,0.788,0.212
fisher.contrast.3.png,fisher.png,0.658,0.342
fisher.contrast.4.png,fisher.png,0.611,0.389
fisher.fnoise.1.png,fisher.png,0.934,0.066
fisher.fnoise.2.png,fisher.png,0.73,0.27
fisher.fnoise.3.png,fisher.png,0.597,0.403
fisher.fnoise.4.png,fisher.png,0.513,0.487
fisher.fnoise.5.png,fisher.png,0.393,0.607
fisher.JPEG.1.png,fisher.png,0.992,0.008
fisher.JPEG.2.png,fisher.png,0.824,0.176
fisher.JPEG.3.png,fisher.png,0.482,0.518
fisher.JPEG.4.png,fisher.png,0.192,0.808
fisher.JPEG.5.png,fisher.png,0.028,0.972
fisher.jpeg2000.1.png,fisher.png,0.992,0.008
fisher.jpeg2000.2.png,fisher.png,0.82,0.18
fisher.jpeg2000.3.png,fisher.png,0.482,0.518
fisher.jpeg2000.4.png,fisher.png,0.275,0.725
fisher.jpeg2000.5.png,fisher.png,0.209,0.791
foxy.AWGN.1.png,foxy.png,0.986,0.014
foxy.AWGN.2.png,foxy.png,0.936,0.064
foxy.AWGN.3.png,foxy.png,0.864,0.136
foxy.AWGN.4.png,foxy.png,0.75,0.25
foxy.AWGN.5.png,foxy.png,0.619,0.381
foxy.BLUR.1.png,foxy.png,0.984,0.016
foxy.BLUR.2.png,foxy.png,0.89,0.11
foxy.BLUR.3.png,foxy.png,0.82,0.18
foxy.BLUR.4.png,foxy.png,0.71,0.29
foxy.BLUR.5.png,foxy.png,0.558,0.442
foxy.contrast.1.png,foxy.png,0.953,0.047
foxy.contrast.2.png,foxy.png,0.817,0.183
foxy.contrast.3.png,foxy.png,0.644,0.356
foxy.contrast.4.png,foxy.png,0.53,0.47
foxy.fnoise.1.png,foxy.png,0.977,0.023
foxy.fnoise.2.png,foxy.png,0.908,0.092
foxy.fnoise.3.png,foxy.png,0.667,0.333
foxy.fnoise.4.png,foxy.png,0.599,0.401
foxy.fnoise.5.png,foxy.png,0.424,0.576
foxy.JPEG.1.png,foxy.png,0.985,0.015
foxy.JPEG.2.png,foxy.png,0.944,0.056
foxy.JPEG.3.png,foxy.png,0.821,0.179
foxy.JPEG.4.png,foxy.png,0.621,0.379
foxy.JPEG.5.png,foxy.png,0.391,0.609
foxy.jpeg2000.1.png,foxy.png,0.984,0.016
foxy.jpeg2000.2.png,foxy.png,0.925,0.075
foxy.jpeg2000.3.png,foxy.png,0.846,0.154
foxy.jpeg2000.4.png,foxy.png,0.678,0.322
foxy.jpeg2000.5.png,foxy.png,0.449,0.551
geckos.AWGN.1.png,geckos.png,0.971,0.029
geckos.AWGN.2.png,geckos.png,0.94,0.06
geckos.AWGN.3.png,geckos.png,0.883,0.117
geckos.AWGN.4.png,geckos.png,0.798,0.202
geckos.AWGN.5.png,geckos.png,0.664,0.336
geckos.BLUR.1.png,geckos.png,0.987,0.013
geckos.BLUR.2.png,geckos.png,0.932,0.068
geckos.BLUR.3.png,geckos.png,0.769,0.231
geckos.BLUR.4.png,geckos.png,0.659,0.341
geckos.BLUR.5.png,geckos.png,0.43,0.57
geckos.contrast.1.png,geckos.png,0.895,0.105
geckos.contrast.2.png,geckos.png,0.761,0.239
geckos.contrast.3.png,geckos.png,0.548,0.452
geckos.fnoise.1.png,geckos.png,0.996,0.004
geckos.fnoise.2.png,geckos.png,0.81,0.19
geckos.fnoise.3.png,geckos.png,0.662,0.338
geckos.fnoise.4.png,geckos.png,0.549,0.451
geckos.fnoise.5.png,geckos.png,0.39,0.61
geckos.JPEG.1.png,geckos.png,0.978,0.022
geckos.JPEG.2.png,geckos.png,0.956,0.044
geckos.JPEG.3.png,geckos.png,0.83,0.17
geckos.JPEG.4.png,geckos.png,0.623,0.377
geckos.JPEG.5.png,geckos.png,0.383,0.617
geckos.jpeg2000.1.png,geckos.png,0.978,0.022
geckos.jpeg2000.2.png,geckos.png,0.953,0.047
geckos.jpeg2000.3.png,geckos.png,0.865,0.135
geckos.jpeg2000.4.png,geckos.png,0.537,0.463
geckos.jpeg2000.5.png,geckos.png,0.266,0.734
lady_liberty.AWGN.1.png,lady_liberty.png,0.968,0.032
lady_liberty.AWGN.2.png,lady_liberty.png,0.849,0.151
lady_liberty.AWGN.3.png,lady_liberty.png,0.745,0.255
lady_liberty.AWGN.4.png,lady_liberty.png,0.616,0.384
lady_liberty.AWGN.5.png,lady_liberty.png,0.513,0.487
lady_liberty.BLUR.1.png,lady_liberty.png,0.941,0.059
lady_liberty.BLUR.2.png,lady_liberty.png,0.773,0.227
lady_liberty.BLUR.3.png,lady_liberty.png,0.538,0.462
lady_liberty.BLUR.4.png,lady_liberty.png,0.327,0.673
lady_liberty.BLUR.5.png,lady_liberty.png,0.034,0.966
lady_liberty.contrast.1.png,lady_liberty.png,0.908,0.092
lady_liberty.contrast.2.png,lady_liberty.png,0.695,0.305
lady_liberty.contrast.3.png,lady_liberty.png,0.359,0.641
lady_liberty.fnoise.1.png,lady_liberty.png,0.968,0.032
lady_liberty.fnoise.2.png,lady_liberty.png,0.807,0.193
lady_liberty.fnoise.3.png,lady_liberty.png,0.648,0.352
lady_liberty.fnoise.4.png,lady_liberty.png,0.495,0.505
lady_liberty.fnoise.5.png,lady_liberty.png,0.358,0.642
lady_liberty.JPEG.1.png,lady_liberty.png,0.969,0.031
lady_liberty.JPEG.2.png,lady_liberty.png,0.733,0.267
lady_liberty.JPEG.3.png,lady_liberty.png,0.491,0.509
lady_liberty.JPEG.4.png,lady_liberty.png,0.237,0.763
lady_liberty.JPEG.5.png,lady_liberty.png,0.093,0.907
lady_liberty.jpeg2000.1.png,lady_liberty.png,0.983,0.017
lady_liberty.jpeg2000.2.png,lady_liberty.png,0.726,0.274
lady_liberty.jpeg2000.3.png,lady_liberty.png,0.468,0.532
lady_liberty.jpeg2000.4.png,lady_liberty.png,0.345,0.655
lady_liberty.jpeg2000.5.png,lady_liberty.png,0.23,0.77
lake.AWGN.1.png,lake.png,0.978,0.022
lake.AWGN.2.png,lake.png,0.863,0.137
lake.AWGN.3.png,lake.png,0.705,0.295
lake.AWGN.4.png,lake.png,0.563,0.437
lake.AWGN.5.png,lake.png,0.464,0.536
lake.BLUR.1.png,lake.png,0.926,0.074
lake.BLUR.2.png,lake.png,0.837,0.163
lake.BLUR.3.png,lake.png,0.704,0.296
lake.BLUR.4.png,lake.png,0.53,0.47
lake.BLUR.5.png,lake.png,0.345,0.655
lake.contrast.1.png,lake.png,0.906,0.094
lake.contrast.2.png,lake.png,0.735,0.265
lake.contrast.3.png,lake.png,0.59,0.41
lake.contrast.4.png,lake.png,0.494,0.506
lake.fnoise.1.png,lake.png,0.875,0.125
lake.fnoise.2.png,lake.png,0.71,0.29
lake.fnoise.3.png,lake.png,0.56,0.44
lake.fnoise.4.png,lake.png,0.429,0.571
lake.fnoise.5.png,lake.png,0.341,0.659
lake.JPEG.1.png,lake.png,0.935,0.065
lake.JPEG.2.png,lake.png,0.833,0.167
lake.JPEG.3.png,lake.png,0.752,0.248
lake.JPEG.4.png,lake.png,0.592,0.408
lake.JPEG.5.png,lake.png,0.318,0.682
lake.jpeg2000.1.png,lake.png,0.979,0.021
lake.jpeg2000.2.png,lake.png,0.921,0.079
lake.jpeg2000.3.png,lake.png,0.844,0.156
lake.jpeg2000.4.png,lake.png,0.571,0.429
lake.jpeg2000.5.png,lake.png,0.27,0.73
log_seaside.AWGN.1.png,log_seaside.png,1,0
log_seaside.AWGN.2.png,log_seaside.png,0.943,0.057
log_seaside.AWGN.3.png,log_seaside.png,0.868,0.132
log_seaside.AWGN.4.png,log_seaside.png,0.733,0.267
log_seaside.AWGN.5.png,log_seaside.png,0.558,0.442
log_seaside.BLUR.1.png,log_seaside.png,0.987,0.013
log_seaside.BLUR.2.png,log_seaside.png,0.922,0.078
log_seaside.BLUR.3.png,log_seaside.png,0.793,0.207
log_seaside.BLUR.4.png,log_seaside.png,0.649,0.351
log_seaside.BLUR.5.png,log_seaside.png,0.41,0.59
log_seaside.contrast.1.png,log_seaside.png,0.977,0.023
log_seaside.contrast.2.png,log_seaside.png,0.843,0.157
