dis_image,ref_image,,dmos
log_seaside.contrast.3.png,log_seaside.png,0.631,0.369
log_seaside.contrast.4.png,log_seaside.png,0.542,0.458
log_seaside.fnoise.1.png,log_seaside.png,0.982,0.018
log_seaside.fnoise.2.png,log_seaside.png,0.857,0.143
log_seaside.fnoise.3.png,log_seaside.png,0.677,0.323
log_seaside.fnoise.4.png,log_seaside.png,0.482,0.518
log_seaside.fnoise.5.png,log_seaside.png,0.327,0.673
log_seaside.JPEG.1.png,log_seaside.png,1,0
log_seaside.JPEG.2.png,log_seaside.png,0.955,0.045
log_seaside.JPEG.3.png,log_seaside.png,0.84,0.16
log_seaside.JPEG.4.png,log_seaside.png,0.606,0.394
log_seaside.JPEG.5.png,log_seaside.png,0.307,0.693
log_seaside.jpeg2000.1.png,log_seaside.png,1,0
log_seaside.jpeg2000.2.png,log_seaside.png,0.991,0.009
log_seaside.jpeg2000.3.png,log_seaside.png,0.962,0.038
log_seaside.jpeg2000.4.png,log_seaside.png,0.731,0.269
log_seaside.jpeg2000.5.png,log_seaside.png,0.361,0.639
monument.AWGN.1.png,monument.png,0.988,0.012
monument.AWGN.2.png,monument.png,0.919,0.081
monument.AWGN.3.png,monument.png,0.817,0.183
monument.AWGN.4.png,monument.png,0.675,0.325
monument.AWGN.5.png,monument.png,0.532,0.468
monument.BLUR.1.png,monument.png,0.952,0.048
monument.BLUR.2.png,monument.png,0.823,0.177
monument.BLUR.3.png,monument.png,0.641,0.359
monument.BLUR.4.png,monument.png,0.412,0.588
monument.BLUR.5.png,monument.png,0.21,0.79
monument.contrast.1.png,monument.png,0.987,0.013
monument.contrast.2.png,monument.png,0.858,0.142
monument.contrast.3.png,monument.png,0.742,0.258
monument.contrast.4.png,monument.png,0.677,0.323
monument.fnoise.1.png,monument.png,0.969,0.031
monument.fnoise.2.png,monument.png,0.792,0.208
monument.fnoise.3.png,monument.png,0.68,0.32
monument.fnoise.4.png,monument.png,0.486,0.514
monument.fnoise.5.png,monument.png,0.402,0.598
monument.JPEG.1.png,monument.png,0.985,0.015
monument.JPEG.2.png,monument.png,0.894,0.106
monument.JPEG.3.png,monument.png,0.619,0.381
monument.JPEG.4.png,monument.png,0.335,0.665
monument.JPEG.5.png,monument.png,0.179,0.821
monument.jpeg2000.1.png,monument.png,0.984,0.016
monument.jpeg2000.2.png,monument.png,0.937,0.063
monument.jpeg2000.3.png,monument.png,0.676,0.324
monument.jpeg2000.4.png,monument.png,0.432,0.568
monument.jpeg2000.5.png,monument.png,0.234,0.766
native_american.AWGN.1.png,native_american.png,0.96,0.04
native_american.AWGN.2.png,native_american.png,0.931,0.069
native_american.AWGN.3.png,native_american.png,0.776,0.224
native_american.AWGN.4.png,native_american.png,0.599,0.401
native_american.AWGN.5.png,native_american.png,0.524,0.476
native_american.BLUR.1.png,native_american.png,0.965,0.035
native_american.BLUR.2.png,native_american.png,0.828,0.172
native_american.BLUR.3.png,native_american.png,0.635,0.365
native_american.BLUR.4.png,native_american.png,0.393,0.607
native_american.BLUR.5.png,native_american.png,0.132,0.868
native_american.contrast.1.png,native_american.png,0.938,0.062
native_american.contrast.2.png,native_american.png,0.776,0.224
native_american.contrast.3.png,native_american.png,0.63,0.37
native_american.contrast.4.png,native_american.png,0.541,0.459
native_american.fnoise.1.png,native_american.png,0.913,0.087
native_american.fnoise.2.png,native_american.png,0.746,0.254
native_american.fnoise.3.png,native_american.png,0.509,0.491
native_american.fnoise.4.png,native_american.png,0.382,0.618
native_american.fnoise.5.png,native_american.png,0.265,0.735
native_american.JPEG.1.png,native_american.png,0.945,0.055
native_american.JPEG.2.png,native_american.png,0.85,0.15
native_american.JPEG.3.png,native_american.png,0.627,0.373
native_american.JPEG.4.png,native_american.png,0.277,0.723
native_american.JPEG.5.png,native_american.png,0.113,0.887
native_american.jpeg2000.1.png,native_american.png,0.977,0.023
native_american.jpeg2000.2.png,native_american.png,0.908,0.092
native_american.jpeg2000.3.png,native_american.png,0.638,0.362
native_american.jpeg2000.4.png,native_american.png,0.301,0.699
native_american.jpeg2000.5.png,native_american.png,0.173,0.827
redwood.AWGN.1.png,redwood.png,0.949,0.051
redwood.AWGN.2.png,redwood.png,0.812,0.188
redwood.AWGN.3.png,redwood.png,0.677,0.323
redwood.AWGN.4.png,redwood.png,0.568,0.432
redwood.AWGN.5.png,redwood.png,0.455,0.545
redwood.BLUR.1.png,redwood.png,0.912,0.088
redwood.BLUR.2.png,redwood.png,0.77,0.23
redwood.BLUR.3.png,redwood.png,0.619,0.381
redwood.BLUR.4.png,redwood.png,0.431,0.569
redwood.BLUR.5.png,redwood.png,0.154,0.846
redwood.contrast.1.png,redwood.png,0.926,0.074
redwood.contrast.2.png,redwood.png,0.802,0.198
redwood.contrast.3.png,redwood.png,0.61,0.39
redwood.contrast.4.png,redwood.png,0.529,0.471
redwood.fnoise.1.png,redwood.png,0.905,0.095
redwood.fnoise.2.png,redwood.png,0.69,0.31
redwood.fnoise.3.png,redwood.png,0.476,0.524
redwood.fnoise.4.png,redwood.png,0.347,0.653
redwood.fnoise.5.png,redwood.png,0.248,0.752
redwood.JPEG.1.png,redwood.png,0.968,0.032
redwood.JPEG.2.png,redwood.png,0.818,0.182
redwood.JPEG.3.png,redwood.png,0.566,0.434
redwood.JPEG.4.png,redwood.png,0.319,0.681
redwood.JPEG.5.png,redwood.png,0.114,0.886
redwood.jpeg2000.1.png,redwood.png,0.973,0.027
redwood.jpeg2000.2.png,redwood.png,0.901,0.099
redwood.jpeg2000.3.png,redwood.png,0.575,0.425
redwood.jpeg2000.4.png,redwood.png,0.255,0.745
redwood.jpeg2000.5.png,redwood.png,0.154,0.846
roping.AWGN.1.png,roping.png,0.997,0.003
roping.AWGN.2.png,roping.png,0.895,0.105
roping.AWGN.3.png,roping.png,0.815,0.185
roping.AWGN.4.png,roping.png,0.618,0.382
roping.AWGN.5.png,roping.png,0.487,0.513
roping.BLUR.1.png,roping.png,0.966,0.034
roping.BLUR.2.png,roping.png,0.812,0.188
roping.BLUR.3.png,roping.png,0.529,0.471
roping.BLUR.4.png,roping.png,0.33,0.67
roping.BLUR.5.png,roping.png,0.12,0.88
roping.contrast.1.png,roping.png,0.944,0.056
roping.contrast.2.png,roping.png,0.808,0.192
roping.contrast.3.png,roping.png,0.629,0.371
roping.contrast.4.png,roping.png,0.55,0.45
roping.fnoise.1.png,roping.png,0.968,0.032
roping.fnoise.2.png,roping.png,0.861,0.139
roping.fnoise.3.png,roping.png,0.664,0.336
roping.fnoise.4.png,roping.png,0.487,0.513
roping.fnoise.5.png,roping.png,0.262,0.738
roping.JPEG.1.png,roping.png,0.983,0.017
roping.JPEG.2.png,roping.png,0.828,0.172
roping.JPEG.3.png,roping.png,0.636,0.364
roping.JPEG.4.png,roping.png,0.329,0.671
roping.JPEG.5.png,roping.png,0.09,0.91
roping.jpeg2000.1.png,roping.png,0.986,0.014
roping.jpeg2000.2.png,roping.png,0.925,0.075
roping.jpeg2000.3.png,roping.png,0.7,0.3
roping.jpeg2000.4.png,roping.png,0.401,0.599
roping.jpeg2000.5.png,roping.png,0.171,0.829
rushmore.AWGN.1.png,rushmore.png,0.968,0.032
rushmore.AWGN.2.png,rushmore.png,0.869,0.131
rushmore.AWGN.3.png,rushmore.png,0.741,0.259
rushmore.AWGN.4.png,rushmore.png,0.618,0.382
rushmore.AWGN.5.png,rushmore.png,0.487,0.513
rushmore.BLUR.1.png,rushmore.png,0.989,0.011
rushmore.BLUR.2.png,rushmore.png,0.917,0.083
rushmore.BLUR.3.png,rushmore.png,0.758,0.242
rushmore.BLUR.4.png,rushmore.png,0.584,0.416
rushmore.BLUR.5.png,rushmore.png,0.342,0.658
rushmore.contrast.1.png,rushmore.png,0.875,0.125
rushmore.contrast.2.png,rushmore.png,0.71,0.29
rushmore.contrast.3.png,rushmore.png,0.607,0.393
rushmore.contrast.4.png,rushmore.png,0.494,0.506
rushmore.fnoise.1.png,rushmore.png,0.802,0.198
rushmore.fnoise.2.png,rushmore.png,0.703,0.297
rushmore.fnoise.3.png,rushmore.png,0.578,0.422
rushmore.fnoise.4.png,rushmore.png,0.453,0.547
rushmore.fnoise.5.png,rushmore.png,0.364,0.636
rushmore.JPEG.1.png,rushmore.png,0.982,0.018
rushmore.JPEG.2.png,rushmore.png,0.91,0.09
rushmore.JPEG.3.png,rushmore.png,0.694,0.306
rushmore.JPEG.4.png,rushmore.png,0.499,0.501
rushmore.JPEG.5.png,rushmore.png,0.246,0.754
rushmore.jpeg2000.1.png,rushmore.png,0.976,0.024
rushmore.jpeg2000.2.png,rushmore.png,0.957,0.043
rushmore.jpeg2000.3.png,rushmore.png,0.819,0.181
rushmore.jpeg2000.4.png,rushmore.png,0.463,0.537
rushmore.jpeg2000.5.png,rushmore.png,0.334,0.666
shroom.AWGN.1.png,shroom.png,0.969,0.031
shroom.AWGN.2.png,shroom.png,0.864,0.136
shroom.AWGN.3.png,shroom.png,0.763,0.237
shroom.AWGN.4.png,shroom.png,0.645,0.355
shroom.AWGN.5.png,shroom.png,0.537,0.463
shroom.BLUR.1.png,shroom.png,0.954,0.046
shroom.BLUR.2.png,shroom.png,0.839,0.161
shroom.BLUR.3.png,shroom.png,0.605,0.395
shroom.BLUR.4.png,shroom.png,0.451,0.549
shroom.BLUR.5.png,shroom.png,0.231,0.769
shroom.contrast.1.png,shroom.png,0.919,0.081
shroom.contrast.2.png,shroom.png,0.816,0.184
shroom.contrast.3.png,shroom.png,0.667,0.333
shroom.contrast.4.png,shroom.png,0.59,0.41
shroom.fnoise.1.png,shroom.png,0.978,0.022
shroom.fnoise.2.png,shroom.png,0.82,0.18
shroom.fnoise.3.png,shroom.png,0.644,0.356
shroom.fnoise.4.png,shroom.png,0.425,0.575
shroom.fnoise.5.png,shroom.png,0.298,0.702
shroom.JPEG.1.png,shroom.png,0.996,0.004
shroom.JPEG.2.png,shroom.png,0.92,0.08
shroom.JPEG.3.png,shroom.png,0.609,0.391
shroom.JPEG.4.png,shroom.png,0.395,0.605
shroom.JPEG.5.png,shroom.png,0.163,0.837
shroom.jpeg2000.1.png,shroom.png,0.98,0.02
shroom.jpeg2000.2.png,shroom.png,0.875,0.125
shroom.jpeg2000.3.png,shroom.png,0.693,0.307
shroom.jpeg2000.4.png,shroom.png,0.337,0.663
shroom.jpeg2000.5.png,shroom.png,0.22,0.78
snow_leaves.AWGN.1.png,snow_leaves.png,0.981,0.019
snow_leaves.AWGN.2.png,snow_leaves.png,0.937,0.063
snow_leaves.AWGN.3.png,snow_leaves.png,0.788,0.212
snow_leaves.AWGN.4.png,snow_leaves.png,0.707,0.293
snow_leaves.AWGN.5.png,snow_leaves.png,0.566,0.434
snow_leaves.BLUR.1.png,snow_leaves.png,0.98,0.02
snow_leaves.BLUR.2.png,snow_leaves.png,0.86,0.14
snow_leaves.BLUR.3.png,snow_leaves.png,0.7,0.3
snow_leaves.BLUR.4.png,snow_leaves.png,0.54,0.46
snow_leaves.BLUR.5.png,snow_leaves.png,0.304,0.696
snow_leaves.contrast.1.png,snow_leaves.png,0.959,0.041
snow_leaves.contrast.2.png,snow_leaves.png,0.779,0.221
snow_leaves.contrast.3.png,snow_leaves.png,0.68,0.32
snow_leaves.contrast.4.png,snow_leaves.png,0.621,0.379
snow_leaves.fnoise.1.png,snow_leaves.png,0.952,0.048
snow_leaves.fnoise.2.png,snow_leaves.png,0.775,0.225
snow_leaves.fnoise.3.png,snow_leaves.png,0.589,0.411
snow_leaves.fnoise.4.png,snow_leaves.png,0.464,0.536
snow_leaves.fnoise.5.png,snow_leaves.png,0.321,0.679
snow_leaves.JPEG.1.png,snow_leaves.png,0.996,0.004
snow_leaves.JPEG.2.png,snow_leaves.png,0.922,0.078
snow_leaves.JPEG.3.png,snow_leaves.png,0.813,0.187
snow_leaves.JPEG.4.png,snow_leaves.png,0.445,0.555
snow_leaves.JPEG.5.png,snow_leaves.png,0.243,0.757
snow_leaves.jpeg2000.1.png,snow_leaves.png,0.978,0.022
snow_leaves.jpeg2000.2.png,snow_leaves.png,0.94,0.06
snow_leaves.jpeg2000.3.png,snow_leaves.png,0.739,0.261
snow_leaves.jpeg2000.4.png,snow_leaves.png,0.445,0.555
snow_leaves.jpeg2000.5.png,snow_leaves.png,0.289,0.711
sunsetcolor.AWGN.1.png,sunsetcolor.png,0.958,0.042
sunsetcolor.AWGN.2.png,sunsetcolor.png,0.821,0.179
sunsetcolor.AWGN.3.png,sunsetcolor.png,0.674,0.326
sunsetcolor.AWGN.4.png,sunsetcolor.png,0.542,0.458
sunsetcolor.AWGN.5.png,sunsetcolor.png,0.451,0.549
sunsetcolor.BLUR.1.png,sunsetcolor.png,0.913,0.087
sunsetcolor.BLUR.2.png,sunsetcolor.png,0.809,0.191
sunsetcolor.BLUR.3.png,sunsetcolor.png,0.693,0.307
sunsetcolor.BLUR.4.png,sunsetcolor.png,0.452,0.548
sunsetcolor.BLUR.5.png,sunsetcolor.png,0.154,0.846
sunsetcolor.contrast.1.png,sunsetcolor.png,0.906,0.094
sunsetcolor.contrast.2.png,sunsetcolor.png,0.74,0.26
sunsetcolor.contrast.3.png,sunsetcolor.png,0.598,0.402
sunsetcolor.contrast.4.png,sunsetcolor.png,0.535,0.465
sunsetcolor.fnoise.1.png,sunsetcolor.png,0.776,0.224
sunsetcolor.fnoise.2.png,sunsetcolor.png,0.631,0.369
sunsetcolor.fnoise.3.png,sunsetcolor.png,0.461,0.539
sunsetcolor.fnoise.4.png,sunsetcolor.png,0.393,0.607
sunsetcolor.fnoise.5.png,sunsetcolor.png,0.266,0.734
sunsetcolor.JPEG.1.png,sunsetcolor.png,0.942,0.058
sunsetcolor.JPEG.2.png,sunsetcolor.png,0.821,0.179
sunsetcolor.JPEG.3.png,sunsetcolor.png,0.609,0.391
sunsetcolor.JPEG.4.png,sunsetcolor.png,0.394,0.606
sunsetcolor.JPEG.5.png,sunsetcolor.png,0.111,0.889
sunsetcolor.jpeg2000.1.png,sunsetcolor.png,0.957,0.043
sunsetcolor.jpeg2000.2.png,sunsetcolor.png,0.883,0.117
sunsetcolor.jpeg2000.3.png,sunsetcolor.png,0.658,0.342
sunsetcolor.jpeg2000.4.png,sunsetcolor.png,0.278,0.722
sunsetcolor.jpeg2000.5.png,sunsetcolor.png,0.174,0.826
sunset_sparrow.AWGN.1.png,sunset_sparrow.png,0.961,0.039
sunset_sparrow.AWGN.2.png,sunset_sparrow.png,0.794,0.206
sunset_sparrow.AWGN.3.png,sunset_sparrow.png,0.698,0.302
sunset_sparrow.AWGN.4.png,sunset_sparrow.png,0.591,0.409
sunset_sparrow.AWGN.5.png,sunset_sparrow.png,0.485,0.515
sunset_sparrow.BLUR.1.png,sunset_sparrow.png,0.927,0.073
sunset_sparrow.BLUR.2.png,sunset_sparrow.png,0.691,0.309
sunset_sparrow.BLUR.3.png,sunset_sparrow.png,0.274,0.726
sunset_sparrow.BLUR.4.png,sunset_sparrow.png,0.037,0.963
sunset_sparrow.BLUR.5.png,sunset_sparrow.png,0.001,0.999
sunset_sparrow.contrast.1.png,sunset_sparrow.png,0.948,0.052
sunset_sparrow.contrast.2.png,sunset_sparrow.png,0.869,0.131
sunset_sparrow.contrast.3.png,sunset_sparrow.png,0.727,0.273
sunset_sparrow.contrast.4.png,sunset_sparrow.png,0.587,0.413
sunset_sparrow.fnoise.1.png,sunset_sparrow.png,0.881,0.119
sunset_sparrow.fnoise.2.png,sunset_sparrow.png,0.661,0.339
sunset_sparrow.fnoise.3.png,sunset_sparrow.png,0.469,0.531
sunset_sparrow.fnoise.4.png,sunset_sparrow.png,0.383,0.617
sunset_sparrow.fnoise.5.png,sunset_sparrow.png,0.279,0.721
sunset_sparrow.JPEG.1.png,sunset_sparrow.png,0.976,0.024
sunset_sparrow.JPEG.2.png,sunset_sparrow.png,0.699,0.301
sunset_sparrow.JPEG.3.png,sunset_sparrow.png,0.345,0.655
sunset_sparrow.JPEG.4.png,sunset_sparrow.png,0.149,0.851
sunset_sparrow.JPEG.5.png,sunset_sparrow.png,0,1
sunset_sparrow.jpeg2000.1.png,sunset_sparrow.png,0.969,0.031
sunset_sparrow.jpeg2000.2.png,sunset_sparrow.png,0.564,0.436
sunset_sparrow.jpeg2000.3.png,sunset_sparrow.png,0.307,0.693
sunset_sparrow.jpeg2000.4.png,sunset_sparrow.png,0.115,0.885
sunset_sparrow.jpeg2000.5.png,sunset_sparrow.png,0.082,0.918
swarm.AWGN.1.png,swarm.png,0.965,0.035
swarm.AWGN.2.png,swarm.png,0.834,0.166
swarm.AWGN.3.png,swarm.png,0.678,0.322
swarm.AWGN.4.png,swarm.png,0.581,0.419
swarm.AWGN.5.png,swarm.png,0.423,0.577
swarm.BLUR.1.png,swarm.png,0.925,0.075
swarm.BLUR.2.png,swarm.png,0.707,0.293
swarm.BLUR.3.png,swarm.png,0.441,0.559
swarm.BLUR.4.png,swarm.png,0.182,0.818
swarm.BLUR.5.png,swarm.png,0.037,0.963
swarm.contrast.1.png,swarm.png,0.909,0.091
swarm.contrast.2.png,swarm.png,0.685,0.315
swarm.contrast.3.png,swarm.png,0.375,0.625
swarm.fnoise.1.png,swarm.png,0.928,0.072
swarm.fnoise.2.png,swarm.png,0.634,0.366
swarm.fnoise.3.png,swarm.png,0.414,0.586
swarm.fnoise.4.png,swarm.png,0.303,0.697
swarm.fnoise.5.png,swarm.png,0.184,0.816
swarm.JPEG.1.png,swarm.png,0.967,0.033
swarm.JPEG.2.png,swarm.png,0.687,0.313
swarm.JPEG.3.png,swarm.png,0.428,0.572
swarm.JPEG.4.png,swarm.png,0.163,0.837
swarm.JPEG.5.png,swarm.png,0.033,0.967
swarm.jpeg2000.1.png,swarm.png,0.953,0.047
swarm.jpeg2000.2.png,swarm.png,0.631,0.369
swarm.jpeg2000.3.png,swarm.png,0.286,0.714
swarm.jpeg2000.4.png,swarm.png,0.224,0.776
swarm.jpeg2000.5.png,swarm.png,0.109,0.891
trolley.AWGN.1.png,trolley.png,0.971,0.029
trolley.AWGN.2.png,trolley.png,0.91,0.09
trolley.AWGN.3.png,trolley.png,0.78,0.22
trolley.AWGN.4.png,trolley.png,0.658,0.342
trolley.AWGN.5.png,trolley.png,0.55,0.45
trolley.BLUR.1.png,trolley.png,0.964,0.036
trolley.BLUR.2.png,trolley.png,0.885,0.115
trolley.BLUR.3.png,trolley.png,0.77,0.23
trolley.BLUR.4.png,trolley.png,0.593,0.407
trolley.BLUR.5.png,trolley.png,0.394,0.606
trolley.contrast.1.png,trolley.png,0.944,0.056
trolley.contrast.2.png,trolley.png,0.785,0.215
trolley.contrast.3.png,trolley.png,0.567,0.433
trolley.contrast.4.png,trolley.png,0.503,0.497
trolley.fnoise.1.png,trolley.png,0.933,0.067
trolley.fnoise.2.png,trolley.png,0.706,0.294
trolley.fnoise.3.png,trolley.png,0.568,0.432
trolley.fnoise.4.png,trolley.png,0.414,0.586
trolley.fnoise.5.png,trolley.png,0.299,0.701
trolley.JPEG.1.png,trolley.png,0.964,0.036
trolley.JPEG.2.png,trolley.png,0.836,0.164
trolley.JPEG.3.png,trolley.png,0.65,0.35
trolley.JPEG.4.png,trolley.png,0.467,0.533
trolley.JPEG.5.png,trolley.png,0.236,0.764
trolley.jpeg2000.1.png,trolley.png,0.974,0.026
trolley.jpeg2000.2.png,trolley.png,0.943,0.057
trolley.jpeg2000.3.png,trolley.png,0.832,0.168
trolley.jpeg2000.4.png,trolley.png,0.422,0.578
trolley.jpeg2000.5.png,trolley.png,0.273,0.727
turtle.AWGN.1.png,turtle.png,0.98,0.02
turtle.AWGN.2.png,turtle.png,0.881,0.119
turtle.AWGN.3.png,turtle.png,0.801,0.199
turtle.AWGN.4.png,turtle.png,0.671,0.329
turtle.AWGN.5.png,turtle.png,0.564,0.436
turtle.BLUR.1.png,turtle.png,0.94,0.06
turtle.BLUR.2.png,turtle.png,0.765,0.235
turtle.BLUR.3.png,turtle.png,0.482,0.518
turtle.BLUR.4.png,turtle.png,0.253,0.747
turtle.BLUR.5.png,turtle.png,0.067,0.933
turtle.contrast.1.png,turtle.png,0.921,0.079
turtle.contrast.2.png,turtle.png,0.801,0.199
turtle.contrast.3.png,turtle.png,0.593,0.407
turtle.contrast.4.png,turtle.png,0.446,0.554
turtle.fnoise.1.png,turtle.png,0.961,0.039
turtle.fnoise.2.png,turtle.png,0.827,0.173
turtle.fnoise.3.png,turtle.png,0.655,0.345
turtle.fnoise.4.png,turtle.png,0.462,0.538
turtle.fnoise.5.png,turtle.png,0.347,0.653
turtle.JPEG.1.png,turtle.png,0.998,0.002
turtle.JPEG.2.png,turtle.png,0.838,0.162
turtle.JPEG.3.png,turtle.png,0.468,0.532
turtle.JPEG.4.png,turtle.png,0.198,0.802
turtle.JPEG.5.png,turtle.png,0.016,0.984
turtle.jpeg2000.1.png,turtle.png,0.985,0.015
turtle.jpeg2000.2.png,turtle.png,0.871,0.129
turtle.jpeg2000.3.png,turtle.png,0.512,0.488
turtle.jpeg2000.4.png,turtle.png,0.31,0.69
turtle.jpeg2000.5.png,turtle.png,0.225,0.775
veggies.AWGN.1.png,veggies.png,0.982,0.018
veggies.AWGN.2.png,veggies.png,0.902,0.098
veggies.AWGN.3.png,veggies.png,0.786,0.214
veggies.AWGN.4.png,veggies.png,0.653,0.347
veggies.AWGN.5.png,veggies.png,0.528,0.472
veggies.BLUR.1.png,veggies.png,0.944,0.056
veggies.BLUR.2.png,veggies.png,0.794,0.206
veggies.BLUR.3.png,veggies.png,0.651,0.349
veggies.BLUR.4.png,veggies.png,0.479,0.521
veggies.BLUR.5.png,veggies.png,0.281,0.719
veggies.contrast.1.png,veggies.png,0.944,0.056
veggies.contrast.2.png,veggies.png,0.797,0.203
veggies.contrast.3.png,veggies.png,0.668,0.332
veggies.contrast.4.png,veggies.png,0.615,0.385
veggies.fnoise.1.png,veggies.png,0.935,0.065
veggies.fnoise.2.png,veggies.png,0.797,0.203
veggies.fnoise.3.png,veggies.png,0.629,0.371
veggies.fnoise.4.png,veggies.png,0.4,0.6
veggies.fnoise.5.png,veggies.png,0.317,0.683
veggies.JPEG.1.png,veggies.png,0.955,0.045
veggies.JPEG.2.png,veggies.png,0.886,0.114
veggies.JPEG.3.png,veggies.png,0.683,0.317
veggies.JPEG.4.png,veggies.png,0.452,0.548
veggies.JPEG.5.png,veggies.png,0.228,0.772
veggies.jpeg2000.1.png,veggies.png,0.962,0.038
veggies.jpeg2000.2.png,veggies.png,0.892,0.108
veggies.jpeg2000.3.png,veggies.png,0.771,0.229
veggies.jpeg2000.4.png,veggies.png,0.41,0.59
veggies.jpeg2000.5.png,veggies.png,0.27,0.73
woman.AWGN.1.png,woman.png,0.948,0.052
woman.AWGN.2.png,woman.png,0.803,0.197
woman.AWGN.3.png,woman.png,0.711,0.289
woman.AWGN.4.png,woman.png,0.591,0.409
woman.AWGN.5.png,woman.png,0.51,0.49
woman.BLUR.1.png,woman.png,0.914,0.086
woman.BLUR.2.png,woman.png,0.802,0.198
woman.BLUR.3.png,woman.png,0.58,0.42
woman.BLUR.4.png,woman.png,0.384,0.616
woman.BLUR.5.png,woman.png,0.166,0.834
woman.contrast.1.png,woman.png,0.914,0.086
woman.contrast.2.png,woman.png,0.802,0.198
woman.contrast.3.png,woman.png,0.58,0.42
woman.contrast.4.png,woman.png,0.384,0.616
woman.fnoise.1.png,woman.png,0.901,0.099
woman.fnoise.2.png,woman.png,0.738,0.262
woman.fnoise.3.png,woman.png,0.51,0.49
woman.fnoise.4.png,woman.png,0.362,0.638
woman.fnoise.5.png,woman.png,0.258,0.742
woman.JPEG.1.png,woman.png,0.958,0.042
woman.JPEG.2.png,woman.png,0.878,0.122
woman.JPEG.3.png,woman.png,0.597,0.403
woman.JPEG.4.png,woman.png,0.359,0.641
woman.JPEG.5.png,woman.png,0.103,0.897
woman.jpeg2000.1.png,woman.png,0.969,0.031
woman.jpeg2000.2.png,woman.png,0.881,0.119
woman.jpeg2000.3.png,woman.png,0.652,0.348
woman.jpeg2000.4.png,woman.png,0.379,0.621
woman.jpeg2000.5.png,woman.png,0.217,0.783
